Character,Final_Label,Series,Year,Network
TK Strand,Gay,9-1-1: Lone Star,2020–2025,Fox
Carlos Reyes,Gay,9-1-1: Lone Star,2020–2025,Fox
Paul Strickland,Transgender,9-1-1: Lone Star,2020–2025,Fox
Nancy Gillian,Bisexual,9-1-1: Lone Star,2020–2025,Fox
Hikari Kuina,Transgender,Alice in Borderland,2020–,Netflix
Dawn Schafer,[MANUAL_ENTRY_REQUIRED],The Baby-Sitters Club,2020–2021,Netflix
Natalie Garcia,Lesbian,The Baker and the Beauty,2020,ABC
Amy,Lesbian,The Baker and the Beauty,2020,ABC
Jerrie Kennedy,Transgender,Big Sky,2020–23,ABC
Chris Ackerman,Pansexual,Blood & Water,2020–2024,Netflix
Mark Tedder,Gay,Blood & Water,2020–2024,Netflix
Michael Kelting,Gay,Blutige Anfänger,2020–,ZDF
Dr. Claas Steinebach,Gay,Blutige Anfänger,2020–,ZDF
Bruno Pérez,Gay,Blutige Anfänger,2020–,ZDF
Phillip Schneider,Gay,Blutige Anfänger,2020–,ZDF
Henry Granville,Gay,Bridgerton,2020–,Netflix
Lord Wetherby,Gay,Bridgerton,2020–,Netflix
Benedict Bridgerton,Pansexual,Bridgerton,2020–,Netflix
Francesca Bridgerton,[MANUAL_ENTRY_REQUIRED],Bridgerton,2020–,Netflix
Kiyoshi Adachi,[MANUAL_ENTRY_REQUIRED],Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,2020,"TV Tokyo, Tencent Video, Crunchyroll"
Yuichi Kurosawa,[MANUAL_ENTRY_REQUIRED],Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,2020,"TV Tokyo, Tencent Video, Crunchyroll"
Gerry Granda,Gay,Control Z,2020–2022,Netflix
Isabela De La Fuente,Transgender,Control Z,2020–2022,Netflix
Álex Salomone,Lesbian,Control Z,2020–2022,Netflix
Maria Alexander,Bisexual,Control Z,2020–2022,Netflix
Luis Navarro,Gay,Control Z,2020–2022,Netflix
Felipe 'Pipe',Gay,Control Z,2020–2022,Netflix
Bernardo,Gay,Control Z,2020–2022,Netflix
Gabriela,Lesbian,Control Z,2020–2022,Netflix
Dr. Oliver Post,Gay,Council of Dads,2020,NBC
Peter Richards,Gay,Council of Dads,2020,NBC
Charlotte Perry,Lesbian,Council of Dads,2020,NBC
JJ Perry,Transgender,Council of Dads,2020,NBC
Daria Raina,Bisexual,Curon,2020,Netflix
Micki Asper,Lesbian,Curon,2020,Netflix
Brianna Bishop,Lesbian,Deputy,2020,Fox
Genevieve,Lesbian,Deputy,2020,Fox
Vera,Lesbian,Desenfrenadas,2020,Netflix
Marcela,[MANUAL_ENTRY_REQUIRED],Desenfrenadas,2020,Netflix
"Roberto ""Bobby"" Cañero-Reed",Gay,Diary of a Future President,2020-2021,Disney+
CJ,[MANUAL_ENTRY_REQUIRED],Diary of a Future President,2020-2021,Disney+
Camilla,[MANUAL_ENTRY_REQUIRED],Diary of a Future President,2020-2021,Disney+
Daniella,[MANUAL_ENTRY_REQUIRED],Diary of a Future President,2020-2021,Disney+
Simone,Transgender,Dispatches from Elsewhere,2020,AMC
Aisha,Bisexual,Don't Look Deeper,2020,Quibi
Camille,[MANUAL_ENTRY_REQUIRED],Emily in Paris,2020–,Netflix
Sofia Sideris,[MANUAL_ENTRY_REQUIRED],Emily in Paris,2020–,Netflix
Garcia,Gay,El Cid,2020–2021,Amazon Prime Video
Sheryll Barnes,Lesbian,FBI: Most Wanted,2020–2025,CBS
Mae,Bisexual,Feel Good,2020–2021,Channel 4; Netflix
George,[MANUAL_ENTRY_REQUIRED],Feel Good,2020–2021,Channel 4; Netflix
Cairo Lazaro,Gay,Gameboys,2020,YouTube Netflix
Gavreel Mendoza Alarcon,Gay,Gameboys,2020,YouTube Netflix
Pearl Gatdula,Bisexual,Gameboys,2020,YouTube Netflix
Ana Morales,Lesbian,Gentefied,2020–2021,Netflix
Olivia Hayes,Lesbian,Get Even,2020,BBC iPlayer
Amber,Lesbian,Get Even,2020,BBC iPlayer
"Siddhartha ""Sid"" Pakam",Gay,Grand Army,2020,Netflix
Victor,Bisexual,Grand Army,2020,Netflix
"Danielle ""Dani"" Clayton",Lesbian,The Haunting of Bly Manor,2020,Netflix
Jamie Taylor,Lesbian,The Haunting of Bly Manor,2020,Netflix
Chris Yen,Gay,Helstrom,2020,Hulu
Derrick Jackson,Gay,Helstrom,2020,Hulu
Jackie Quinones,Lesbian,Hightown,2020–2024,Starz
Devonne Wilson,Lesbian,Hightown,2020–2024,Starz
"Richard ""Dick"" Samuels",Gay,Hollywood,2020,Netflix
"Ernest ""Ernie"" West",[MANUAL_ENTRY_REQUIRED],Hollywood,2020,Netflix
Rock Hudson,Gay,Hollywood,2020,Netflix
Archie Coleman,[MANUAL_ENTRY_REQUIRED],Hollywood,2020,Netflix
Henry Willson,Gay,Hollywood,2020,Netflix
George Cukor,[MANUAL_ENTRY_REQUIRED],Hollywood,2020,Netflix
Noël Coward,[MANUAL_ENTRY_REQUIRED],Hollywood,2020,Netflix
Millie Morris,Lesbian,Hunters,2020–2023,Amazon Prime Video
Maria De La Ruiz,Lesbian,Hunters,2020–2023,Amazon Prime Video
"Sydney ""Syd"" Novak",Lesbian,I Am Not Okay with This,2020,Netflix
Kwame,Gay,I May Destroy You,2020,BBC One HBO
Damon,Gay,I May Destroy You,2020,BBC One HBO
Tyrone,Gay,I May Destroy You,2020,BBC One HBO
Kai,Gay,I May Destroy You,2020,BBC One HBO
Gus Sackey,Gay,Industry,2020-,HBO
Robert Spearing,Bisexual,Industry,2020-,HBO
TheoTuck,Gay,Industry,2020-,HBO
Alex Mercer,Gay,Julie and the Phantoms,2020,Netflix
Willie,Gay,Julie and the Phantoms,2020,Netflix
Jorge/Ginger Lopez,Gay,Katy Keene,2020,The CW
Pepper Smith,Queer,Katy Keene,2020,The CW
Fran,Lesbian,Kissing Game,2020,Netflix
Chico,Gay,Kissing Game,2020,Netflix
Bel,Bisexual,Kissing Game,2020,Netflix
Maurílio,Gay,Kissing Game,2020,Netflix
Alex Nero,Gay,Kissing Game,2020,Netflix
Rafiq,Gay,Little America,2020–2022,Apple TV+
Zain,Gay,Little America,2020–2022,Apple TV+
Mia Warren,Bisexual,Little Fires Everywhere,2020,Hulu
Pauline Hawthorne,Lesbian,Little Fires Everywhere,2020,Hulu
Izzy Richardson,Lesbian,Little Fires Everywhere,2020,Hulu
April Jarvis,Lesbian,Little Fires Everywhere,2020,Hulu
Duncan Locke,Gay,Locke & Key,2020–2022,Netflix
Victor Salazar,[MANUAL_ENTRY_REQUIRED],"Love, Victor",2020–2022,Hulu
Benji Campbell,Gay,"Love, Victor",2020–2022,Hulu
Rahim,Gay,"Love, Victor",2020–2022,Hulu
Derek,Gay,"Love, Victor",2020–2022,Hulu
Bram Greenfeld,Gay,"Love, Victor",2020–2022,Hulu
Simon Spier,Gay,"Love, Victor",2020–2022,Hulu
Montrose Freeman,Gay,Lovecraft Country,2020,HBO
Sammy,Gay,Lovecraft Country,2020,HBO
Leptis,Lesbian,Luna Nera,2020,Netflix
Tebe,Lesbian,Luna Nera,2020,Netflix
Rupert Parker,Gay,Miss Scarlet and The Duke,2020–,Alibi
Raelle Collar,Lesbian,Motherland: Fort Salem,2020–2022,Freeform
Scylla Ramshorn,Bisexual,Motherland: Fort Salem,2020–2022,Freeform
Bohn,Gay,My Engineer,2020,Tencent Video
Duen,Gay,My Engineer,2020,Tencent Video
Ram,Gay,My Engineer,2020,Tencent Video
King,Gay,My Engineer,2020,Tencent Video
Mek,Gay,My Engineer,2020,Tencent Video
Boss,Gay,My Engineer,2020,Tencent Video
Frong,Gay,My Engineer,2020,Tencent Video
Thara,Gay,My Engineer,2020,Tencent Video
Caleb Burford,Gay,Mystic,2020–2022,CBBC TVNZ
Rachel,[MANUAL_ENTRY_REQUIRED],Mythic Quest,2020–2025,Apple TV+
Dana,[MANUAL_ENTRY_REQUIRED],Mythic Quest,2020–2025,Apple TV+
Fabiola Torres,Lesbian,Never Have I Ever,2020–2023,Netflix
Eve,Lesbian,Never Have I Ever,2020–2023,Netflix
Jonah Sharpe,Gay,Never Have I Ever,2020–2023,Netflix
Ashley Collins,Lesbian,Nurses,2020–2021,Global
Caro,Lesbian,Nurses,2020–2021,Global
Geoff Allen,Gay,October Faction,2020,Netflix
Phillip Mishra,Gay,October Faction,2020,Netflix
